Έτος,Δήμος,cleaned dimos,Org_ID,Περιφέρεια,Δασαρχείο,Κατάθεση αντιπυρκού σχεδίου στη ΓΓ. Πολ. Προστασίας,Χρηματοδότηηση ΥΠΕΣ,Συμπληρωματική χρηματοδότηση ΥΠΕΣ,#ανάθεση,#ανάληψη,#οριστικοποίηση,#έγκριση,Πρόταση χρηματοδότησης ΓΓ Πολ Προστασίας,Χρηματοδότηση ΕΣΠΑ,Χρηματοδότηση Αντώνης Τρίτσης,Άλλη πηγή χρηματοδότησης ονομαστικά,Δαπάνη για αντιπυρρική προστασία - Ισολογισμός,Αρ. Υπαλλήλων δήμου για πυροπροστασία,Αριθμός Πυρκαγιών,Καμμένες εκτάσεις,Τι ποσοστό του τακτικού προϋπολογισμού δίνεται σε πυροπροστασία
2022,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,ΑΓΡΙΝΙΟΥ,100054492,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,,,144000,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,
2022,ΔΗΜΟΣ ΑΘΗΝΑΙΩΝ,ΑΘΗΝΑΙΩΝ,5002,ΑΤΤΙΚΗΣ,,,118000,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,
2022,ΔΗΜΟΣ ΑΙΓΑΛΕΩ,ΑΙΓΑΛΕΩ,5002,ΑΤΤΙΚΗΣ,,,22500,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,
2022,ΔΗΜΟΣ ΑΙΓΙΑΛΕΙΑΣ,ΑΙΓΙΑΛΕΙΑΣ,100054492,ΑΧΑΙΑΣ,,,118000,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,
2022,ΔΗΜΟΣ ΑΙΓΙΝΑΣ,ΑΙΓΙΝΑΣ,12,ΑΤΤΙΚΗΣ,,,24700,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,
2022,ΔΗΜΟΣ ΑΚΤΙΟΥ-ΒΟΝΙΤΣΑΣ,ΑΚΤΙΟΥ-ΒΟΝΙΤΣΑΣ,#N/A,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,,,44000,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,
2022,ΔΗΜΟΣ ΑΛΕΞΑΝΔΡΕΙΑΣ,ΑΛΕΞΑΝΔΡΕΙΑΣ,5009,ΗΜΑΘΙΑΣ,,,29000,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,
2022,ΔΗΜΟΣ ΑΛΕΞΑΝΔΡΟΥΠΟΛΗΣ,ΑΛΕΞΑΝΔΡΟΥΠΟΛΗΣ,5001,ΕΒΡΟΥ,,,64000,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,
2022,ΔΗΜΟΣ ΑΛΙΑΡΤΟΥ,ΑΛΙΑΡΤΟΥ-ΘΕΣΠΙΕΩΝ,5013,ΒΟΙΩΤΙΑΣ,,,35000,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,
2022,ΔΗΜΟΣ ΑΛΙΜΟΥ,ΑΛΙΜΟΥ,5002,#N/A,,,#N/A,15000,#N/A,#N/A,#N/A,#N/A,,,,,,,,,
