Please read Terms and Conditions of Access and Use of EDO data at https://edo.jrc.ec.europa.eu/edov2/php/index.php?id=1044
"cell_id","latitude","longitude","cdi"
21028891,37.4792,21.7708,5
21028892,37.4792,21.8125,5
21028893,37.4792,21.8542,5
21028894,37.4792,21.8958,5
21028895,37.4792,21.9375,5
21028896,37.4792,21.9792,5
21028911,37.5208,21.6042,2
21028912,37.5208,21.6458,2
21028913,37.5208,21.6875,2
21028914,37.5208,21.7292,5
21028915,37.5208,21.7708,5
21028916,37.5208,21.8125,5
21028917,37.5208,21.8542,5
21028918,37.5208,21.8958,5
21028919,37.5208,21.9375,2
21028920,37.5208,21.9792,2
21028934,37.5625,21.5625,2
21028935,37.5625,21.6042,2
21028936,37.5625,21.6458,2
21028937,37.5625,21.6875,2
21028938,37.5625,21.7292,2
21028939,37.5625,21.7708,2
21028940,37.5625,21.8125,2
21028941,37.5625,21.8542,2
21028942,37.5625,21.8958,2
21028943,37.5625,21.9375,2
21028944,37.5625,21.9792,5
21028957,37.6042,21.5208,2
21028958,37.6042,21.5625,2
21028959,37.6042,21.6042,2
21028960,37.6042,21.6458,2
21028961,37.6042,21.6875,2
21028962,37.6042,21.7292,2
21028963,37.6042,21.7708,2
21028964,37.6042,21.8125,2
21028965,37.6042,21.8542,2
21028966,37.6042,21.8958,2
21028967,37.6042,21.9375,5
21028968,37.6042,21.9792,5
21028981,37.6458,21.5208,2
21028982,37.6458,21.5625,2
21028983,37.6458,21.6042,2
21028984,37.6458,21.6458,2
21028985,37.6458,21.6875,5
21028986,37.6458,21.7292,5
21028987,37.6458,21.7708,2
21028988,37.6458,21.8125,2
21028989,37.6458,21.8542,2
21028990,37.6458,21.8958,2
21028991,37.6458,21.9375,2
21028992,37.6458,21.9792,5
21029005,37.6875,21.5208,2
21029006,37.6875,21.5625,2
21029007,37.6875,21.6042,2
21029008,37.6875,21.6458,2
21029009,37.6875,21.6875,5
21029010,37.6875,21.7292,9
21029011,37.6875,21.7708,8
21029012,37.6875,21.8125,8
21029013,37.6875,21.8542,8
21029014,37.6875,21.8958,2
21029015,37.6875,21.9375,2
21029016,37.6875,21.9792,5
21029029,37.7292,21.5208,5
21029030,37.7292,21.5625,5
21029031,37.7292,21.6042,2
21029032,37.7292,21.6458,5
21029033,37.7292,21.6875,5
21029034,37.7292,21.7292,5
21029035,37.7292,21.7708,5
21029036,37.7292,21.8125,2
21029037,37.7292,21.8542,2
21029038,37.7292,21.8958,2
21029039,37.7292,21.9375,5
21029040,37.7292,21.9792,5
21132729,36.7708,22.3542,2
21132730,36.7708,22.3958,2
21132731,36.7708,22.4375,5
21132732,36.7708,22.4792,2
21132733,36.7708,22.5208,2
21132734,36.7708,22.5625,2
21132752,36.8125,22.3125,2
21132753,36.8125,22.3542,2
21132754,36.8125,22.3958,9
21132755,36.8125,22.4375,5
21132756,36.8125,22.4792,2
21132757,36.8125,22.5208,2
21132758,36.8125,22.5625,2
21132759,36.8125,22.6042,2
21132760,36.8125,22.6458,2
21132761,36.8125,22.6875,2
21132762,36.8125,22.7292,2
21132775,36.8542,22.2708,5
21132776,36.8542,22.3125,5
21132777,36.8542,22.3542,5
21132778,36.8542,22.3958,5
21132779,36.8542,22.4375,5
21132780,36.8542,22.4792,2
21132781,36.8542,22.5208,2
21132782,36.8542,22.5625,2
21132783,36.8542,22.6042,2
21132784,36.8542,22.6458,2
21132785,36.8542,22.6875,2
21132786,36.8542,22.7292,2
21132797,36.8958,22.1875,2
21132798,36.8958,22.2292,2
21132799,36.8958,22.2708,5
21132800,36.8958,22.3125,5
21132801,36.8958,22.3542,5
21132802,36.8958,22.3958,5
21132803,36.8958,22.4375,2
21132804,36.8958,22.4792,2
21132805,36.8958,22.5208,2
21132806,36.8958,22.5625,2
21132807,36.8958,22.6042,2
21132808,36.8958,22.6458,2
21132809,36.8958,22.6875,2
21132810,36.8958,22.7292,2
21132821,36.9375,22.1875,5
21132822,36.9375,22.2292,5
21132823,36.9375,22.2708,2
21132824,36.9375,22.3125,5
21132825,36.9375,22.3542,5
21132826,36.9375,22.3958,5
21132827,36.9375,22.4375,2
21132828,36.9375,22.4792,2
21132829,36.9375,22.5208,2
21132830,36.9375,22.5625,2
21132831,36.9375,22.6042,2
21132832,36.9375,22.6458,2
21132833,36.9375,22.6875,2
21132834,36.9375,22.7292,2
21132845,36.9792,22.1875,5
21132846,36.9792,22.2292,5
21132847,36.9792,22.2708,2
21132848,36.9792,22.3125,5
21132849,36.9792,22.3542,5
21132850,36.9792,22.3958,5
21132851,36.9792,22.4375,2
21132852,36.9792,22.4792,2
21132853,36.9792,22.5208,2
